Company,Company Country,India Investment Location,Region,Year,Month,Date,Category,Investment ($),Investmen(INR),Description,Link,State Investment/Variety Notes,Partnership
Bajaj Auto,India,JIO/Reliance,,2020,December,20-Dec,Automobiles,"$89,150,425.00","6,500,000,000.00",Bajaj Auto to set up Rs 650 crore manufacturing plant in Maharashtra,https://www.businesstoday.in/current/corporate/bajaj-auto-set-up-rs-650-crore-manufacturing-plant-in-maharashtra/story/425700.html,,
Manikaran Power,India,Gujarat,West,2020,December,20-Dec,Industry,"$137,154,500.00","10,000,000,000.00",Gujarat: State to host India's first Lithium refinery,https://indianexpress.com/article/india/gujarat-state-to-host-indias-first-lithium-refinery-7119059/,,
Wistron,Taiwan,Karnataka,South,2020,December,20-Dec,Technology/Electronics,"$173,500,442.50","12,650,000,000.00","iPhone-maker Wistron to invest ₹1,265 cr to hike manufacturing capacity in Karnataka",https://www.thehindubusinessline.com/info-tech/iphone-maker-winstron-to-invest-1265-cr-to-hike-manufacturing-capacity-in-karnataka/article33222944.ece,,
Ola,India,Tamil Nadu,South,2020,December,20-Dec,Automobiles,"$327,000,000.00","23,841,733,500.00",Ola to invest $327M to set up ‘the world's largest scooter factory' in Tamil Nadu,https://techcrunch.com/2020/12/13/ola-to-invest-327-million-to-set-up-the-worlds-largest-scooter-factory-in-tamil-nadu/,,
Adani,India,Tamil Nadu,South,2020,December,20-Dec,Technology/Electronics,"$342,886,250.00","25,000,000,000.00","Adani to invest ₹2,500 cr to set up hyperscale data centre in Chennai",https://www.thehindubusinessline.com/info-tech/adani-to-invest-2500-cr-to-set-up-hyperscale-data-centre-in-chennai/article33379310.ece,,
BHEL,India,India,,2020,December,20-Dec,Infrastructure,"$411,463,500.00","30,000,000,000.00","Make in India: BHEL plans to shift Rs 3,000 cr worth of annual imports to local vendors",https://energy.economictimes.indiatimes.com/news/power/make-in-india-bhel-plans-to-shift-rs-3000-cr-worth-of-annual-imports-to-local-vendors/79853149,,
World Bank,International,India,,2020,December,20-Dec,Infrastructure,"$500,000,000.00","36,455,250,000.00","World Bank Signs $500 Million Project to Develop Green, Resilient and Safe Highways in India",https://www.worldbank.org/en/news/press-release/2020/12/22/world-bank-signs-usd500-million-project-to-develop-green-resilient-and-safe-highways-in-india,,
Torrent Gas,India,Tamil Nadu,South,2020,December,20-Dec,Infrastructure,"$685,772,500.00","50,000,000,000.00","Torrent Gas to invest ₹5,000 crore in Chennai city gas project",https://www.livemint.com/industry/energy/torrent-gas-to-invest-rs-5-000-crore-in-chennai-city-gas-project-11607940818268.html,,
GIC,Singapore,India,,2020,December,20-Dec,Industry,"$750,000,000.00","54,682,875,000.00","Singapore's GIC, ESR to invest $750m in industrial assets in India",https://realassets.ipe.com/news/singapores-gic-esr-to-invest-750m-in-industrial-assets-in-india/10049769.article,,
Hindalco,India,Gujarat,West,2020,December,20-Dec,Industry,"$947,000,000.00","69,046,243,500.00",Hindalco Plows On With $947 Million Growth Plan as India Revives,https://www.bloombergquint.com/business/hindalco-plows-on-with-947-million-growth-plan-as-india-revives,,
Tata Group,India,Gujarat,West,2020,December,20-Dec,Industry,"$960,081,500.00","70,000,000,000.00",Tatas to upgrade 225 Gujarat Industrial Training Institutes,https://m.timesofindia.com/city/ahmedabad/tatas-to-upgrade-225-gujarat-industrial-training-institutes/amp_articleshow/79932602.cms,,
Yotta Infra,India,Uttar Pradesh,North,2020,December,20-Dec,Technology/Electronics,"$960,081,500.00","70,000,000,000.00","Yotta Infra to set up ₹7,000-crore datacentre park in Greater Noida",https://www.thehindubusinessline.com/info-tech/yotta-infra-to-set-up-7000-crore-datacentre-park-in-greater-noida/article32951021.ece,,
Foxconn,Taiwan,Tamil Nadu,South,2020,December,20-Dec,Technology/Electronics,"$1,000,000,000.00","72,910,500,000.00",Chennai to be home for 19k Foxconn staff; units to come up on 30.83 acres at SIPCOT,https://www.newindianexpress.com/cities/chennai/2020/dec/15/chennai-to-be-home-for-19k-foxconn-staff-units-to-come-up-on-3083-acres-at-sipcot-2236333.html,,
NLC,India,Uttar Pradesh,North,2020,December,20-Dec,Industry,"$2,364,269,271.00","172,380,000,000.00","NLC to expedite ₹17,238-cr coal power project in UP",https://www.thehindubusinessline.com/companies/nlc-to-expedite-17238-cr-coal-power-project-in-up/article33378124.ece,,
UAE,United Arab Emirates,Madhya Pradesh,Central,2020,December,20-Dec,General Goods,"$7,000,000,000.00","510,373,500,000.00",UAE to invest 7 billion dollars in India's food sector,https://knnindia.co.in/news/newsdetails/global/uae-to-invest-7-billion-dollars-in-indias-food-sector,,
Variety,Variety,Maharashtra,West,2020,December,20-Dec,State Investment,"$8,366,424,500.00","610,000,000,000.00","Maharashtra govt inks Rs 61,000 crore worth investment MoUs with 25 companies",https://www.freepressjournal.in/business/maharashtra-govt-inks-rs-61000-crore-worth-investment-mous-with-25-companies,,
Raksul,Japan,Karnataka,Test,2020,December,20-Dec,Technology/Electronics,,,Japanese startup icon Raksul sets up tech centre in Bengaluru,https://timesofindia.indiatimes.com/business/india-business/japanese-startup-icon-raksul-sets-up-tech-centre-in-bengaluru/articleshow/79856402.cms,,
Oppo,China,Telangana,Test,2020,December,20-Dec,Technology/Electronics,,,"Oppo sets up 5G innovation lab in India, it's 1st such plant outside China",https://www.business-standard.com/article/companies/oppo-sets-up-5g-innovation-lab-in-india-it-s-1st-such-plant-outside-china-120122200567_1.html,,
Micron,United States,,Test,2020,December,20-Dec,Technology/Electronics,,,"Ravi Shankar Prasad meets Micron CEO, company to set up Centre of Excellence in India",https://economictimes.indiatimes.com/industry/cons-products/electronics/ravi-shankar-prasad-meets-micron-ceo-company-to-set-up-centre-of-excellence-in-india/articleshow/79718789.cms?from=mdr,,
DLF,India,Uttar Pradesh,North,2020,December,20-Dec,Technology/Electronics,"$17,830,085.00","1,300,000,000.00",DLF to invest about ₹130 crore to develop data centre in Noida,https://www.livemint.com/companies/news/dlf-to-invest-about-rs-130-crore-to-develop-data-centre-in-noida-11607249206681.html,,
TVS Srichakra,India,India,,2020,December,20-Dec,Automobiles,"$137,154,500.00","10,000,000,000.00",TVS Srichakra mulls ₹1000 crore plan to boost output,https://www.thehindu.com/business/Industry/tvs-srichakra-mulls-1000-crore-plan-to-boost-output/article33282338.ece,,
Indian Oil,India,Andhra Pradesh,South,2020,December,20-Dec,Industry,"$259,222,005.00","18,900,000,000.00","Indian Oil Corporation Limited to invest ₹1,689 crore in Andhra Pradesh",https://www.thehindu.com/news/national/andhra-pradesh/indian-oil-corporation-limited-to-invest-1689-crore-in-andhra-pradesh/article33236870.ece,,
FM Logistic,France,India,,2020,December,20-Dec,Infrastructure,"$24,687,810.00","1,800,000,000.00",FM Logistic India plans to invest Rs 180 crore in intra-city warehousing,https://www.business-standard.com/article/companies/fm-logistic-india-plans-to-invest-rs-180-crore-in-intra-city-warehousing-120122500846_1.html,,
Star Cement,India,West Bengal,East,2020,December,20-Dec,Industry,"$61,719,525.00","4,500,000,000.00",Cement major to invest Rs 450 crore in West Bengal,https://timesofindia.indiatimes.com/city/kolkata/cement-major-to-invest-rs-450cr-in-state/articleshow/79518364.cms,,
Hiranandani Group,India,India,,2020,December,20-Dec,Technology/Electronics,"$1,165,813,250.00","85,000,000,000.00","Hiranandani Group bets on COVID-19 recovery for real estate, to invest  ₹8,500 crore on data centres",https://www.livemint.com/industry/infrastructure/hiranandani-group-bets-on-covid-19-recovery-for-real-estate-to-invest-rs-8-500-crore-on-data-centres-11607865722689.html,,
Vedanta/Centricus,India/United Kingdom,Businesses/Startups,,2020,December,20-Dec,Businesses/Startups,"$10,000,000,000.00","729,105,000,000.00",Anil Agarwal's Vedanta and Centricus to invest $10 billion in Indian companies,https://economictimes.indiatimes.com/news/company/corporate-trends/anil-agarwals-vedanta-and-centricus-to-invest-10-billion-in-indian-companies/articleshow/79801241.cms,,Yes
GAIL,India,Maharashtra,West,2020,December,20-Dec,Infrastructure,"$1,206,959,600.00","88,000,000,000.00","GAIL India to invest Rs 8,800 crore in Maharashtra for Polypropylene complex",https://www.freepressjournal.in/mumbai/gail-india-to-invest-rs-8800-crore-in-maharashtra-for-polypropylene-complex,,
Norwegian Cruise Line,United States,India,Test,2020,December,20-Dec,General Goods,,,Norwegian Cruise Line set to ramp up investment in Indian market,https://www.thehindubusinessline.com/economy/logistics/norwegian-cruise-line-set-to-ramp-up-investment-in-indian-market/article33361387.ece,,
Avery Dennison,United States,Delhi,North,2020,December,20-Dec,General Goods,"$34,288,625.00","2,500,000,000.00","Avery Dennison to invest Rs. 250 crores into new plant, says its India Vice President",https://economictimes.indiatimes.com/industry/indl-goods/svs/packaging/avery-dennison-to-invest-rs-250-crores-into-new-plant-says-its-india-vice-president/articleshow/79664293.cms,,
IFC,International,Businesses/Startups,,2020,December,20-Dec,Infrastructure,"$76,000,000.00","5,541,198,000.00","IFC, EAF set to invest $76 mn in Puravankara budget housing",https://www.livemint.com/companies/news/ifc-ifc-asia-fund-to-invest-76-mln-in-puravankara-s-budget-housing-projects-11608193814130.html,,
Venture Catalysts,India,Businesses/Startups,,2020,December,20-Dec,Businesses/Startups,"$137,154,500.00","10,000,000,000.00","Venture Catalysts Group to invest Rs 1,000 cr in start-ups in 2021",https://www.business-standard.com/article/companies/venture-catalysts-group-to-invest-rs-1-000-cr-in-start-ups-in-2021-120121600345_1.html,,
IIT Alumni,India,Businesses/Startups,,2020,December,20-Dec,Businesses/Startups,"$6,857,725,000.00","500,000,000,000.00","IIT Alumni to launch India Empowerment Fund, to invest up to ₹50,000 crore",https://www.thehindubusinessline.com/info-tech/iit-alumni-to-launch-india-empowerment-fund-to-invest-up-to-50000-crore/article33248397.ece,,
IceWarp,United States,India,,2020,December,20-Dec,Technology/Electronics,"$4,000,000.00","291,642,000.00",IceWarp to invest $4 million in India,https://economictimes.indiatimes.com/tech/internet/icewarp-to-invest-4million-in-india/articleshow/79568983.cms,,
Ikea,Sweden,India,,2020,December,20-Dec,General Goods,"$1,440,122,250.00","105,000,000,000.00","Ikea ready to invest more than Rs 10,500 crore in India",https://timesofindia.indiatimes.com/business/india-business/ikea-ready-to-invest-more-than-rs-10500-crore-in-india/articleshow/79782427.cms,,
Fiat Chrysler Automobiles,United States,Telangana,South,2020,December,20-Dec,Technology/Electronics,"$150,000,000.00","10,936,575,000.00",Fiat Chrysler Automobiles to invest $150 million for Global Digital Hub in Hyderabad,https://timesofindia.indiatimes.com/business/india-business/fiat-chrysler-automobiles-to-invest-150-million-for-global-digital-hub-in-hyderabad/articleshow/79755248.cms,,
Saint-Gobain,France,Gujarat,West,2021,January,21-Jan,General Goods,"$1,138,382.35","83,000,000.00",Saint-Gobain adds 6 million sq meters capacity with new Jhagadia plant,https://realty.economictimes.indiatimes.com/news/allied-industries/saint-gobain-adds-6-million-sq-meters-capacity-with-new-jhagadia-plant/80358499,,
Salcomp,Finland,Tamil Nadu,South,2021,January,21-Jan,Technology/Electronics,"$5,760,489.00","420,000,000.00",Apple contract manufacturer Salcomp purchases Jabil's facility at Sriperumbudur,https://telecom.economictimes.indiatimes.com/news/apple-contract-manufacturer-salcomp-purchases-jabils-facility-at-sriperumbudur/79951666,,
Wardwizard Innovations & Mobility,India,Uttar Pradesh,North,2021,January,21-Jan,Automobiles,"$6,171,952.50","450,000,000.00",Wardwizard Innovations & Mobility inaugurates new electric two-wheeler manufacturing facility in Vadodara,https://www.indiatoday.in/auto/latest-auto-news/story/wardwizard-innovations-mobility-inaugurates-new-electric-two-wheeler-manufacturing-facility-in-vadodara-1763680-2021-01-28,,
Autoliv,Sweden,Tamil Nadu,South,2021,January,21-Jan,Automobiles,"$13,715,450.00","1,000,000,000.00",Swedish manufacturer chooses Tamil Nadu over Vietnam,https://www.thehindu.com/news/national/tamil-nadu/swedish-manufacturer-chooses-tamil-nadu-over-vietnam/article33553988.ece,,
Okinawa Autotech,India,Rajasthan,North,2021,January,21-Jan,Automobiles,"$20,573,175.00","1,500,000,000.00",Okinawa Autotech plans to invest Rs 150 crore to set up new manufacturing unit in Rajasthan,https://economictimes.indiatimes.com/industry/auto/two-wheelers-three-wheelers/okinawa-autotech-plans-to-invest-rs-150-crore-to-set-up-new-manufacturing-unit-in-rajasthan/articleshow/80431594.cms,,
Variety,Variety,Maharashtra,West,2021,January,21-Jan,State Investment,"$21,944,720.00","1,600,000,000.00",AURIC Shendra in Maharashtra bags investment of Rs 160 crore,https://economictimes.indiatimes.com/news/politics-and-nation/auric-shendra-in-maharashtra-bags-investment-of-rs-160-crore/articleshow/80418966.cms,,
Lulu Group,United Arab Emirates,Uttar Pradesh,North,2021,January,21-Jan,General Goods,"$27,430,900.00","2,000,000,000.00",Lulu Group to invest Rs 200 cr in Noida,https://www.outlookindia.com/newsscroll/lulu-group-to-invest-rs-200-cr-in-noida/2005497,,
Kirin,Japan,Businesses/Startups,,2021,January,21-Jan,Businesses/Startups,"$30,000,000.00","2,187,315,000.00",Japanese beer maker Kirin to invest $30 mn in India's Bira,https://www.businesstoday.in/current/corporate/japanese-beer-maker-kirin-to-invest-30-mn-in-indian-craft-beer-manufacturer-bira/story/426864.html,,
Daicel,Japan,Tamil Nadu,South,2021,January,21-Jan,Automobiles,"$31,545,535.00","2,300,000,000.00",Daicel to set up automobile airbag inflator plant at CapitaLand's OneHub Chennai for Rs 230 crore,https://www.moneycontrol.com/news/business/real-estate/daicel-to-set-up-automobile-airbag-inflator-plant-at-capitalands-onehub-chennai-for-rs-230-crore-6360811.html,,
Optimeus Infracon,India,Uttar Pradesh,North,2021,January,21-Jan,Technology/Electronics,"$39,089,032.50","2,850,000,000.00",Optiemus Infracom setting up new factory for mobile manufacturing in Noida,https://www.financialexpress.com/industry/technology/optiemus-infracom-setting-up-new-factory-for-mobile-manufacturing-in-noida/2157631/,,
Steel Authority of India,India,Maharashtra,West,2021,January,21-Jan,Industry,"$54,861,800.00","4,000,000,000.00",Sail plans India's 1st gas-to-ethanol plant in Maharashtra's Chandrapur,https://www.livemint.com/news/india/sail-plans-india-s-1st-gas-to-ethanol-plant-in-maharashtra-s-chandrapur-11611478815231.html,,
PepsiCo,United States,Arunachal Pradesh,Northeast,2021,January,21-Jan,General Goods,"$54,861,800.00","4,000,000,000.00",Second plant of Pepsi in Northeast to come in Arunachal: CM Khandu,https://www.time8.in/second-plant-of-pepsi-in-northeast-to-come-in-arunachal-cm-khandu/,,
MG Motor,China,Gujarat,West,2021,January,21-Jan,Automobiles,"$68,577,250.00","5,000,000,000.00","MG Motor to invest Rs 500 crore more, hire 1,000",https://timesofindia.indiatimes.com/business/india-business/mg-motor-to-invest-500cr-more-hire-1k/articleshow/80163464.cms,,
Luminous Power,India,Uttarakhand,North,2021,January,21-Jan,General Goods,"$13,715,450.00","1,000,000,000.00","Luminous aims Rs 6,000-crore turnover by FY25, to invest Rs 500 crore over next 3 years for expansion",https://economictimes.indiatimes.com/industry/energy/power/luminous-aims-rs-6000-crore-turnover-by-fy25-to-invest-rs-500-crore-over-next-3-years-for-expansion/articleshow/80433873.cms,,
Luminous Power,India,Himachal Pradesh,North,2021,January,21-Jan,General Goods,"$54,861,800.00","4,000,000,000.00","Luminous aims Rs 6,000-crore turnover by FY25, to invest Rs 500 crore over next 3 years for expansion",https://economictimes.indiatimes.com/industry/energy/power/luminous-aims-rs-6000-crore-turnover-by-fy25-to-invest-rs-500-crore-over-next-3-years-for-expansion/articleshow/80433873.cms,,
boAt,India,India,,2021,January,21-Jan,Technology/Electronics,"$100,000,000.00","7,291,050,000.00",boAt raises $100 million funding from Warburg Pincus,"https://indianexpress.com/article/business/companies/boat-raises-usd-100-million-funding-from-warburg-pincus-7134780/#:~:text=Homegrown%20headphones%20and%20speakers%20maker,a%20global%20private%20equity%20firm.&text=%E2%80%9CWe%20welcome%20Warburg%20Pincus%20as%20a%20new%20investor%20into%20the%20company.",,
World Bank,International,West Bengal,East,2021,January,21-Jan,Infrastructure,"$105,000,000.00","7,655,602,500.00",World Bank sees city as logistics hub,https://www.telegraphindia.com/business/world-bank-sees-kolkata-as-logistics-hub/cid/1803084,,
Lava,India,Uttar Pradesh,North,2021,January,21-Jan,Technology/Electronics,"$109,723,600.00","8,000,000,000.00",Lava to invest ₹800 crore to boost smartphone biz,https://www.livemint.com/companies/news/lava-to-invest-800-crore-to-boost-smartphone-biz-11610731014507.html,,
MassMutual,United States,Telangana,South,2021,January,21-Jan,General Goods,"$137,154,500.00","10,000,000,000.00","MassMutual to set up Rs 1,000 crore global facility in Hyderabad",https://telanganatoday.com/massmutual-to-set-up-rs-1000-crore-global-facility-in-hyderabad,,
DP World,United Arab Emirates,Maharashtra,West,2021,January,21-Jan,Infrastructure,"$137,154,500.00","10,000,000,000.00",DP World starts construction of its FTZ in Navi Mumbai,https://www.thehindu.com/business/dp-world-starts-construction-of-its-ftz-in-navi-mumbai/article33561460.ece,,
Nippon Telegraph and Telephone,Japan,Uttar Pradesh,North,2021,January,21-Jan,Technology/Electronics,"$137,154,500.00","10,000,000,000.00",Japanese Tech Giant NTT Acquires Six-Acre Land In Greater Noida To Build Data Centre,https://swarajyamag.com/insta/japanese-tech-giant-ntt-data-acquires-six-acre-land-in-greater-noida-to-build-data-centre,,
ST Telemedia,Singapore,Uttar Pradesh,North,2021,January,21-Jan,Technology/Electronics,"$150,869,950.00","11,000,000,000.00","Singapore company plans Rs 1,100cr data centre campus in Noida",https://timesofindia.indiatimes.com/city/noida/singapore-company-plans-rs-1100cr-data-centre-campus-in-noida/articleshow/80358364.cms,,
Brixton Group,United Arab Emirates,Kerala,South,2021,January,21-Jan,Infrastructure,"$164,585,400.00","12,000,000,000.00","Brixton Group announces Rs 1,200 crore industrial smart city project in Kochi",https://www.newindianexpress.com/cities/kochi/2021/jan/24/brixton-group-announces-rs-1200-crore-industrial-smart-city-project-in-kochi-2254314.html,,
Fiat Chrysler Automobiles,United States,Maharashtra,West,2021,January,21-Jan,Automobiles,"$250,306,962.50","18,250,000,000.00","Make in India: FCA to invest roughly ₹1,825 crore in India for local production of 4 new Jeep SUVs",https://www.timesnownews.com/auto/car-news/article/make-in-india-fca-to-invest-roughly-1825-crore-in-india-for-local-production-of-4-new-jeep-suvs/703014,,
Ola/Siemens,India/Germany,Tamil Nadu,South,2021,January,21-Jan,Automobiles,"$329,170,800.00","24,000,000,000.00","Ola, Siemens to build 'India's most advanced EV manufacturing hub' in Tamil Nadu for  ₹2,400 cr",https://www.livemint.com/companies/news/ola-siemens-to-build-ev-manufacturing-hub-in-tamil-nadu-for-rs-2-400-crore-11611137351917.html,,Yes
Variety,Variety,Uttar Pradesh,North,2021,January,21-Jan,State Investment,"$411,463,500.00","30,000,000,000.00","UP defence corridor attracts investments worth  ₹3,000 crore",https://www.livemint.com/budget/news/budget-2021-up-seeking-incentives-for-investments-at-defence-corridor-11611668540371.html,,
Amul,India,India,,2021,January,21-Jan,General Goods,"$685,772,500.00","50,000,000,000.00","Amul to invest Rs 5,000 crore over next five years",https://www.financialexpress.com/industry/amul-to-invest-rs-5000-cr-over-next-five-years/2167275/,,
Foxconn,Taiwan,Tamil Nadu,South,2021,January,21-Jan,Technology/Electronics,"$685,772,500.00","50,000,000,000.00","Foxconn's India arm plans IPO to raise Rs 5,000 crore",https://www.businesstoday.in/markets/ipo-corner/foxconns-india-arm-plans-ipo-to-raise-5000-crore/story/427711.html,,
Variety,Variety,Karnataka,South,2021,January,21-Jan,State Investment,"$685,772,500.00","50,000,000,000.00","Wooed by concessions, investors go North",https://www.newindianexpress.com/states/karnataka/2021/jan/15/wooed-by-concessions-investors-go-north-2250310.html,"-Aequs is developing the CEDG cluster on 350 acres in the Itigatti-Gamanagatti area between Hubballi and Dharwad, with an investment of Rs 3,524 crore, and will create around 20,000 jobs.
 -Noida-based UFlex, India’s largest multinational packaging company, will manufacture flexible packing film on around 50 acres of land in Mummigatti, on the outskirts of Dharwad. The company will invest around Rs 1,464 crore and operate throughout South India from here.
",
Grasim,India,,,2021,January,21-Jan,General Goods,"$685,772,500.00","50,000,000,000.00","Aditya Birla Group's Grasim to enter paints business with Rs 5,000 crore investment",https://outline.com/PBrSrp,,
Variety,Variety,Odisha,East,2021,January,21-Jan,State Investment,"$877,788,800.00","64,000,000,000.00",Odisha approves 8 investment proposals worth 6400 crore,https://timesofindia.indiatimes.com/city/bhubaneswar/odisha-approves-8-investment-proposals-worth-rs-6400-crore/articleshow/80138282.cms,"-Expansion of Yazdani Steel & Power Limited’s Integrated Steel Plant from a capacity of 0.07 MTPA to 1.19 MTPA against an investment of Rs 2415 crore in Kalinganagar, Jajpur, with potential employment opportunities for over 2867 persons.
 -Additional clinker capacity of 1.32 MTPA and cement capacity of 1.05 MTPA by Shiva Cement Limited (SCL) with an investment of Rs 1523.24 crore at Telighana, Kutra, Sundargarh. It will generate employment opportunities for over 600 persons.
 -Development of crude oil terminal to be set up by Numaligarh Refinery Ltd (NRL) at Paradeep in Jagatsinghpur with an investment of Rs 1420 crore. It will generate employment opportunities for over 200 persons.
 -A sulphuric acid expansion project unit with an additional annual capacity of 6,60,000 tonne by Indian Farmers Fertiliser Cooperative Limited (IFFCO) with an investment of Rs 400 crore at Paradip, Jagatsinghpur.
 -0.04 MTPA ferro manganese plant, 0.12 MTPA manganese beneficiation, 1 MTPA iron ore beneficiation and 18 MW CPP plant by Patnaik Minerals Private Limited in Sundargarh with an investment of Rs 243 crore.
 -A 250 KLPD grain-based distillery unit for production of ethanol and extra-neutral alcohol (ENA) and IMFL/IMIL bottling unit along with a 5.50 MW cogeneration power to be set up by Premier Alcobev Private Limited at Bamra in Sambalpur with an investment of Rs 275 crore.
 -A 116 KLPD grain-based distillery plant (IMFL/ IMIL) (in two phases) and 1 lakh/month bottling plant to be set up by Cuttack Agrivet Pvt Ltd at Mundali in Cuttack With Rs 112.50 crore.
 -A 4-star-hotel-cum-resort by SJ Developers and Housing Private Limited in Jasuapur, Pipili in Puri district with an investment of Rs 54.58 crore.",
Triton Electric,United States,,,2021,January,21-Jan,Automobiles,"$1,000,000,000.00","72,910,500,000.00",New Jersey-based Triton Electric to invest around USD 1 billion in India,https://auto.economictimes.indiatimes.com/videos/new-jersey-based-triton-electric-to-invest-inr-650-cr-in-india/80227085,,
Indian Oil,India,Tamil Nadu,South,2021,January,21-Jan,Industry,"$3,977,480,500.00","290,000,000,000.00","Indian Oil to set up Rs 29,000 crore refinery at Nagapattinam in Tamil Nadu",https://www.businesstoday.in/current/corporate/indian-oil-to-set-up-rs-29000-crore-refinery-at-nagapattinam-in-tamil-nadu/story/429698.html,,
Variety,Variety,Tamil Nadu,South,2021,January,21-Jan,State Investment,"$7,167,282,706.50","522,570,000,000.00","Tamil Nadu Cabinet Clears 34 Investment Proposals Worth Rs 52,257 Crore, Likely To Create Around 94,000 Jobs",https://swarajyamag.com/insta/tamil-nadu-cabinet-clears-34-investment-proposals-worth-rs-52257-crore-likely-to-create-around-93935-jobs,"-Sun Edison will invest Rs 4,629 crore to establish a solar PV module making facility.
 -Ola Electric will invest Rs 2,354 top set up a plant to manufacture electric vehicles and batteries
 -Taiwanese Luxshare will invest Rs 745 crore to manufacture electronic components and wearables.
 -Apple Inc's contract manufacturer Pegatron Corporation will invest Rs 1,100 crore n phase-I to make phones.
 -Lucas TVS will invest Rs 2,500 crore to manufacture Li-ion batteries.
 -Japan's Daicel Corporation will invest Rs 358 crore to set up India's maiden airbag inflator manufacturing unit. 
 -Germany's Eickhoff Wind will invest Rs 621 crore to manufacture gearboxes for wind energy generators and relocate its facilities from China and Germany.
 -Other investors whose proposals were approved include US' Autoliv Inc which would manufacture passenger safety products
 -Germany's BASF which will manufacture auto emission catalysts
 -Korean LS Automotive which will manufacture automotive switches.
 -Data Patterns which will manufacture defence and aerospace-related products.",
Lenovo,China,Puducherry,Test,2021,January,21-Jan,Technology/Electronics,,,"Lenovo expects 25-30% growth this fiscal, to begin manufacturing tablets in India",https://economictimes.indiatimes.com/industry/cons-products/electronics/lenovo-expects-25-30-growth-this-fiscal-to-begin-manufacturing-tablets-in-india/articleshow/80082414.cms,,
Vehant Technologies,India,Uttar Pradesh,Test,2021,January,21-Jan,Technology/Electronics,,,"Scanning technology: Now, made-in-India x-ray baggage scanners",https://www.financialexpress.com/industry/technology/scanning-technology-now-made-in-india-x-ray-baggage-scanners/2164891/,,
Tesla,United States,Karnataka,Test,2021,January,21-Jan,Automobiles,,,Tesla sets up India subsidiary in Bengaluru,https://economictimes.indiatimes.com/industry/auto/auto-news/tesla-opens-india-subsidiary-in-bengaluru-ahead-of-rd-factory-plans/articleshow/80235735.cms,,
Vistan Nextgen,India,Telangana,Test,2021,January,21-Jan,Technology/Electronics,,,Start-up readying to unveil robots made in India,https://www.thehindu.com/news/cities/Hyderabad/start-up-readying-to-unveil-robots-made-in-india/article33560248.ece,,
IdeaForge,India,Maharashtra,West,2021,January,21-Jan,Military/Space,"$19,201,630.00","1,400,000,000.00",Indian Army To Get Made-In-India Drones For Ladakh; Will Sign Rs 140 Crore Deal With IdeaForge For SWITCH UAVs,https://swarajyamag.com/defence/indian-army-to-get-made-in-india-drones-for-ladakh-will-sign-rs-140-crore-deal-with-ideaforge-for-switch-uavs,,
Hindustan Aeronautics Limited,India,India,Test,2021,January,21-Jan,Military/Space,,,India clears deal to manufacture LCA Mk1A 'Tejas' fighter jets for the air force,https://economictimes.indiatimes.com/news/defence/india-clears-deal-to-manufacture-lca-mk1a-tejas-fighter-jets-for-the-air-force/articleshow/80251604.cms,,
Dixon Technologies,Finland,Uttar Pradesh,Test,2021,January,21-Jan,Technology/Electronics,,,"Dixon to start making Nokia branded handsets, smart TVs",https://telecom.economictimes.indiatimes.com/news/dixon-to-start-making-nokia-branded-handsets-smart-tvs/80250195,,
Thales,United Kingdom,,Test,2021,January,21-Jan,Military/Space,,,"Thales, Bharat Dynamics ink deal to work on air defence system",https://economictimes.indiatimes.com/news/defence/thales-bharat-dynamics-ink-deal-to-work-on-air-defence-system/articleshow/80270512.cms,,
VoltUp/HPCL,India,India,Test,2021,January,21-Jan,Infrastructure,,,VoltUp and HPCL Partner to set Over 50 Battery Swapping Centres across India in Six Months,https://www.news18.com/news/auto/voltup-and-hpcl-partner-to-set-over-50-battery-swapping-centres-across-india-in-six-months-3234590.html,,
Indian Oil,India,Tamil Nadu,Test,2021,January,21-Jan,Automobiles,,,Indian Oil to launch cost-effective aluminium-air batteries for EVs,https://www.financialexpress.com/auto/electric-vehicles/indian-oil-to-launch-cost-effective-aluminium-air-batteries-for-evs-electric-cars/2093204/,,
Shell,Netherlands,Gujarat,Test,2021,January,21-Jan,Industry,,,Shell India starts LNG truck-loading unit at Hazira,https://www.outlookindia.com/newsscroll/shell-india-starts-lng-truckloading-unit-at-hazira/2013374,,
Amazon,United States,,Test,2021,January,21-Jan,R&D/Medical,,,MeitY collaborates with Amazon to set up India's first quantum computing lab,https://www.livemint.com/news/india/meity-collaborates-with-amazon-to-set-up-india-s-first-quantum-computing-lab-11611063127192.html,,
Adani,India,Gujarat,Test,2021,January,21-Jan,Infrastructure,,,Gujarat inks pact with Adani Ports for multi-modal logistics park,https://www.thehindubusinessline.com/economy/logistics/gujarat-inks-pact-with-adani-ports-for-multi-modal-logistics-park/article33636232.ece,,
Variety,Variety,Variety,Test,2021,January,21-Jan,General Goods,,,Leading air-conditioner and refrigerator makers are expanding production capacity,https://economictimes.indiatimes.com/industry/cons-products/durables/leading-air-conditioner-and-refrigerator-makers-are-expanding-production-capacity/articleshow/80437886.cms,,
Panasonic,Japan,Haryana,Test,2021,January,21-Jan,General Goods,,,"Panasonic aims to double AC business in next 3 yrs, invest in domestic manufacturing",https://economictimes.indiatimes.com/industry/cons-products/durables/panasonic-aims-to-double-ac-business-in-next-3-yrs-invest-in-domestic-manufacturing/articleshow/80513275.cms?from=mdr,,
