Company,Company Country,India Investment Location,Region,Year,Month,Date,Category,Investment ($),Investmen(INR),Description,Link,State Investment/Variety Notes,Partnership
Variety,Variety,Uttar Pradesh,North,2020,October,20-Oct,State Investment,"$960,081,500.00","70,000,000,000.00","Amid fight against Covid-19, UP attracts investment worth over Rs 7,000 crore",https://www.hindustantimes.com/lucknow/amid-fight-against-covid-19-up-attracts-investment-worth-over-rs-7-000-crore/story-p3A9BWuBLIosctXhoVCPeL_amp.html?__twitter_impression=true,"-Hiranandani Group, Surya Global, Hindustan Unilever, MG Capsules, Kesho Packaging and Mountain View Technologies. 
-Tandon said three centres of excellence, including one by the Indian 
Institute of Technology, Kanpur (IIT-K) for start-ups in artificial 
intelligence, were also coming up.",
"Adani, Hiranandani",India,Uttar Pradesh,North,2020,October,20-Oct,Technology/Electronics,"$1,371,545,000.00","100,000,000,000.00","Adani, Hiranandani groups to invest Rs 10,000 crore in UP data centres",https://www.business-standard.com/article/companies/adani-hiranandani-groups-to-invest-rs-10-000-crore-in-up-data-centres-120102500987_1.html,,
Essar Group,India,Gujarat,West,2020,October,20-Oct,Industry,"$4,800,407,500.00","350,000,000,000.00","Essar to pump Rs 35,000 crore into Gujarat",https://timesofindia.indiatimes.com/city/ahmedabad/essar-group-to-pump-rs-35000-crore-into-gujarat/articleshow/78819654.cms,,
Grasim/Lubrizol,India/United States,India,Test,2020,October,20-Oct,Industry,,,Grasim signs pact with Lubrizol to manufacture and supply CPVC resin in India,https://economictimes.indiatimes.com/industry/cons-products/garments-/-textiles/grasim-signs-pact-with-lubrizol-to-manufacture-and-supply-cpvc-resin-in-india/articleshow/78955611.cms,,Yes
Sahasra,India,Rajasthan,North,2020,October,20-Oct,Technology/Electronics,"$19,201,630.00","1,400,000,000.00",Sahasra to invest Rs 350 crore over 4 Years,https://telecom.economictimes.indiatimes.com/news/sahasra-to-invest-350cr-over-4-years/78865520,,
Sahasra,India,Uttar Pradesh,North,2020,October,20-Oct,Technology/Electronics,"$28,802,445.00","2,100,000,000.00",Sahasra to invest Rs 350 crore over 4 Years,https://telecom.economictimes.indiatimes.com/news/sahasra-to-invest-350cr-over-4-years/78865520,,
Mapletree,Singapore,Maharashtra,West,2020,October,20-Oct,Infrastructure,"$72,006,112.50","5,250,000,000.00",Singapore's Mapletree Investments buys land in Mumbai for Rs 525 crore,https://www.business-standard.com/article/companies/singapore-s-mapletree-investments-buys-land-in-mumbai-for-rs-525-crore-120100400780_1.html,,
Varmora Granito,India,Gujarat,West,2020,October,20-Oct,Industry,"$41,146,350.00","3,000,000,000.00",Varmora Granito to invest around Rs 300 crore in two plants in Morbi,https://realty.economictimes.indiatimes.com/news/allied-industries/varmora-granito-to-invest-around-rs-300-crore-in-two-plants-in-morbi/78893599,,
Britannia,India,Tamil Nadu,South,2020,October,20-Oct,General Goods,"$75,434,975.00","5,500,000,000.00",Britannia to invest Rs 550 crore in Tamil Nadu; signs MOU with the state,https://retail.economictimes.indiatimes.com/news/food-entertainment/personal-care-pet-supplies-liquor/britannia-to-invest-rs-550-crore-in-tamil-nadu-signs-mou-with-the-state/78620700,,
FreshToHome,India,India,,2020,October,20-Oct,Technology/Electronics,"$121,000,000.00","8,822,170,500.00",FreshToHome looks to expand aggressively in India with $121 million fresh funding,https://www.businesstoday.in/current/corporate/freshtohome-looks-to-expand-aggressively-in-india-with-121-million-fresh-funding/story/420200.html,,
Ayala,India,India,,2020,October,20-Oct,Industry,"$36,000,000.00","2,624,778,000.00",Ayala firm investing $36 M in India solar expansion project,https://mb.com.ph/2020/10/20/ayala-firm-investing-36-m-in-india-solar-expansion-project/,,
Phoenix Business Advisory,Australia,India,,2020,October,20-Oct,Businesses/Startups,"$9,600,815.00","700,000,000.00",Phoenix Business Advisory to invest 70 crores for the corporate regional offices in India & across the world,https://www.hindustantimes.com/brand-post/phoenix-business-advisory-to-invest-70-crores-for-the-corporate-regional-offices-in-india-across-the-world/story-0H71LV9JKTuspsaOJSkGtO.html,,
Indian Chai Company,India,India,,2020,October,20-Oct,General Goods,"$1,000,000.00","72,910,500.00",Indian Chai Company plans to invest US$ 1 million for expansion,https://www.retail4growth.com/news/indian-chai-company-plans-to-invest-us-1-million-for-expansion-5295,,
